Station Name,Start Count,End Count,Start/End Ratio,Community_x,fullness_deviation_at_8,fullness_deviation_at_17,Utilisation_avg_at_8,Utilisation_avg_at_17,Community_y,Average Trip Duration (minutes)
"Abbey Orchard Street, Westminster",498,575,0.8660869565217392,3,0.4623777663407104,0.0288541827740838,3.5846153846153848,3.876923076923077,3,12.546101941097724
"Abingdon Green, Westminster",418,427,0.9789227166276346,3,0.3071428571428571,0.0428571428571428,3.5846153846153848,2.5384615384615383,3,12.369195055821372
"Albany Street, The Regent's Park",492,416,1.1826923076923077,0,0.0546296296296296,0.4118518518518519,2.815384615384616,1.4923076923076923,0,9.313987093495934
"Albert Embankment, Vauxhall",309,244,1.2663934426229508,3,0.2916666666666667,0.2083333333333333,1.8615384615384616,2.5384615384615383,3,13.959423139158575
"Albert Gate, Hyde Park",718,585,1.2273504273504274,3,0.2218487394957984,0.1340153452685423,3.507692307692308,6.646153846153847,3,18.9102945450325
"Aldersgate Street, Barbican",1254,1194,1.050251256281407,1,0.06,0.0333333333333333,11.815384615384616,8.692307692307692,1,8.689902698032961
"Allington Street, Victoria",785,788,0.9961928934010152,3,0.4308452792881863,0.05,8.492307692307692,8.661538461538461,3,13.2840659447983
"Ampton Street , Clerkenwell",486,460,1.056521739130435,0,0.0666666666666667,0.2792485801660114,2.646153846153846,2.6153846153846154,0,8.900851131687244
"Archbishop's Park, Waterloo",220,266,0.8270676691729323,2,0.3242236024844722,0.0658385093167702,1.9230769230769231,1.6923076923076923,2,9.821217196969696
"Argyle Street, Kings Cross",2454,2427,1.011124845488257,0,0.1120963327859879,0.1599837000814997,32.723076923076924,29.0,0,12.347226738657971
"Arundel Street, Temple",396,423,0.9361702127659576,2,0.408187134502924,0.2095238095238094,1.5846153846153843,2.1538461538461537,2,12.44655904882155
"Ashley Place, Victoria",524,563,0.9307282415630552,3,0.4,0.1135877862595419,5.4,4.092307692307692,3,10.391139217557251
"Baker Street, Marylebone",546,435,1.2551724137931035,0,0.1090909090909091,0.0272727272727272,4.323076923076923,3.938461538461538,0,10.687375396825397
"Baldwin Street, St. Luke's",751,676,1.1109467455621302,1,0.2402515723270441,0.0487023245317079,8.03076923076923,6.4,1,11.439908943630716
"Bank of England Museum, Bank",798,849,0.939929328621908,1,0.0874999999999999,0.0156398104265402,4.184615384615385,9.538461538461538,1,10.97551186299081
"Bankside Mix, Bankside",554,676,0.8195266272189349,2,0.4166666666666667,0.3151591289782245,5.830769230769231,6.107692307692307,2,9.577408634175692
"Barbican Centre, Barbican",611,596,1.0251677852348993,1,0.5233082706766918,0.1218045112781954,3.784615384615385,3.4153846153846152,1,10.748691489361702
"Bath Street, St. Luke's",1128,1067,1.057169634489222,1,0.1383838383838384,0.0587939698492459,11.046153846153846,8.63076923076923,1,9.239832771867611
"Bayley Street , Bloomsbury",773,777,0.9948519948519948,0,0.2666666666666666,0.1735849056603772,5.523076923076923,6.446153846153846,0,10.188376433807676
"Baylis Road, Waterloo",1169,1229,0.951179820992677,2,0.0552631578947367,0.0919843597262955,13.446153846153846,11.046153846153846,2,9.613289021956088
"Beaumont Street, Marylebone",561,557,1.007181328545781,0,0.1646176911544228,0.0097826086956521,2.476923076923077,2.923076923076923,0,12.402989334521688
"Bedford Way, Bloomsbury",406,364,1.1153846153846154,0,0.3260869565217395,0.0652173913043479,1.1692307692307693,1.5846153846153843,0,12.324591748768473
"Belgrave Road, Victoria",350,329,1.0638297872340423,3,0.2512445763873031,0.153391436150057,3.953846153846154,3.3384615384615386,3,12.800620904761908
"Belgrave Square, Belgravia",258,290,0.8896551724137931,3,0.336904761904762,0.1066666666666666,1.7692307692307692,1.4307692307692308,3,13.326297480620156
"Bell Lane, Liverpool Street",580,527,1.1005692599620494,1,0.3141304347826087,0.0318840579710145,2.4153846153846152,3.0,1,10.712705086206896
"Bell Street , Marylebone",509,437,1.1647597254004576,0,0.2402515723270439,0.26415770609319,3.815384615384616,2.4923076923076923,0,12.50980468238376
"Belvedere Road 1, South Bank",473,517,0.9148936170212766,1,0.0604551920341395,0.4921052631578949,4.861538461538461,3.123076923076923,1,11.178658210007049
"Belvedere Road 2, South Bank",350,378,0.925925925925926,2,0.1562715199212987,0.468421052631579,4.7846153846153845,1.984615384615385,2,11.456875095238097
"Bermondsey Street, Bermondsey",792,776,1.0206185567010309,2,0.0916666666666666,0.3333333333333333,7.369230769230769,5.969230769230769,2,11.753420980639731
"Berry Street, Clerkenwell",750,743,1.009421265141319,1,0.3809312638580932,0.0824833702882483,7.707692307692308,5.323076923076923,1,10.2675906
"Bethnal Green Road, Shoreditch",957,902,1.0609756097560976,1,0.1842105263157895,0.0978947368421053,8.353846153846154,6.815384615384615,1,10.009399164054336
"Birkenhead Street, King's Cross",762,735,1.036734693877551,0,0.0998998998999001,0.2265644955300129,6.707692307692308,6.061538461538461,0,13.338294685039369
"Black Prince Road, Vauxhall",517,529,0.9773156899810964,2,0.0719298245614032,0.2894736842105264,2.4,3.769230769230769,2,11.785819793681496
"Blackfriars Road, Southwark",568,573,0.9912739965095986,2,0.2833333333333334,0.1333333333333333,6.615384615384615,4.861538461538461,2,10.055948767605637
"Blackfriars Station, St. Paul's",1066,1097,0.9717411121239744,1,0.3771428571428572,0.0428571428571428,15.553846153846154,13.723076923076922,1,9.465255096935586
"Bolsover Street, Fitzrovia",488,472,1.0338983050847457,0,0.236842105263158,0.174436090225564,4.953846153846154,3.4461538461538463,0,10.069429269125685
"Borough High Street, The Borough",504,495,1.018181818181818,2,0.2571428571428572,0.0666666666666667,4.553846153846154,3.0153846153846158,2,10.802685912698411
"Borough Road, Elephant & Castle",442,475,0.9305263157894736,2,0.3648780487804878,0.2864111498257841,3.923076923076923,3.615384615384616,2,9.42811745852187
"Boston Place, Marylebone",1106,740,1.4945945945945946,0,0.2053191489361703,0.2303358613217772,15.36923076923077,8.553846153846154,0,15.536065084388186
"Bourne Street, Belgravia",236,258,0.9147286821705426,3,0.2475,0.065,1.2,1.1076923076923078,3,12.879369562146891
"Bouverie Street, Temple",576,663,0.8687782805429864,2,0.4162878787878789,0.1535192563081008,4.461538461538462,4.3538461538461535,2,10.659045486111111
"Braham Street, Aldgate",849,735,1.1551020408163266,1,0.3316176470588237,0.0196380090497736,8.876923076923077,8.03076923076923,1,12.568439026305455
"Brandon Street, Walworth",378,344,1.0988372093023255,2,0.0379679144385026,0.3781818181818183,1.446153846153846,1.3384615384615384,2,12.241443827160492
"Breams Buildings, Holborn",579,628,0.9219745222929936,1,0.2752941176470589,0.19,2.953846153846154,4.707692307692308,1,10.310440213010938
