Station Name,Start Count,End Count,Start/End Ratio,Community_x,fullness_deviation_at_8,fullness_deviation_at_17,Utilisation_avg_at_8,Utilisation_avg_at_17,Community_y,Average Trip Duration (minutes),normalized_fullness_8,normalized_fullness_17,normalized_popularity,normalized_utilization_8,normalized_utilization_17,normalized_trip_duration,weighted_score,rank
"Waterloo Station 3, Waterloo",4659,4998,0.9321728691476592,1,0.48609865470852,0.2160714285714286,49.261538461538464,67.50769230769231,1,11.837159401159049,0.6656765016709031,0.37680438028870084,0.33291888183844975,1.0,1.0,0.5736692813588589,0.9409430572874175,1.0
"Knightsbridge, Hyde Park",142,61,2.3278688524590163,3,0.7302325581395349,0.3249169435215946,0.0,0.2769230769230769,3,16.63806607981221,1.0,0.566618772127387,0.8313817330210773,0.0,0.004102096627164995,0.8063376598842195,0.8743780407690253,2.0
"Waterloo Station 1, Waterloo",2984,2918,1.0226182316655243,1,0.3813483238612965,0.3279898218829516,36.01538461538462,26.615384615384617,1,11.34599991621984,0.5222285963705653,0.5719775279532222,0.3652207970234016,0.731105559025609,0.39425706472196903,0.5498660107253592,0.7907857349562468,3.0
"Waterloo Station 2, Waterloo",2360,1040,2.269230769230769,1,0.1742806427503737,0.5734313077939235,7.6,13.138461538461538,1,12.00276331920904,0.23866457446707223,1.0,0.8104395604395604,0.1542785758900687,0.19462169553327255,0.5816950143441431,0.7855032975938236,4.0
"Cloudesley Road, Angel",517,258,2.003875968992248,0,0.397837837837838,0.478918918918919,1.3384615384615384,1.646153846153846,0,14.621247678916829,0.5448097779307972,0.835180975314013,0.7156699889258029,0.027170518425983756,0.02438468550592525,0.7085957335095786,0.7763009132204243,5.0
"St. Martin's Street, West End",188,237,0.7932489451476793,3,0.6888888888888889,0.3188323917137478,0.1846153846153846,0.4923076923076923,3,14.593147429078016,0.943382873319179,0.5560079949948041,0.2833031946955998,0.003747657713928794,0.007292616226071102,0.7072338991720721,0.7293484309699204,6.0
"Doric Way , Somers Town",952,737,1.2917232021709633,0,0.3399999999999999,0.4544360902255639,10.707692307692309,7.492307692307692,0,13.18820863095238,0.4656050955414011,0.7924856631456834,0.46132971506105835,0.21736414740787008,0.1109845031905196,0.6391457537513899,0.7250865519818624,7.0
"Greenberry Street, St.John's Wood",246,165,1.490909090909091,0,0.2676923076923078,0.5230769230769232,0.6461538461538462,0.4,0,14.233836653116532,0.3665850073493387,0.9121875906798302,0.5324675324675325,0.01311680199875078,0.005925250683682771,0.6898204684962855,0.6907930030912894,8.0
"Buxton Street 1, Shoreditch",161,146,1.1027397260273972,1,0.3024390243902439,0.5268292682926831,0.2,0.6,1,13.406285507246375,0.4141680907254932,0.9187312606273182,0.3938356164383562,0.004059962523422861,0.008887876025524157,0.6497145059887139,0.6794878821374566,9.0
"Carey Street, Holborn",416,423,0.983451536643026,2,0.6655000000000001,0.2544902912621359,0.5230769230769231,2.507692307692308,2,10.64538000801282,0.9113535031847134,0.4438025754840599,0.3512326916582236,0.010618363522798251,0.03714676390154969,0.5159115706755382,0.6734531523515774,10.0
"Colombo Street, Southwark",22,15,1.4666666666666666,2,0.4753246753246753,0.3571428571428572,0.123076923076923,0.1384615384615384,2,9.695333333333334,0.6509223260815618,0.6228171575019849,0.5238095238095238,0.002498438475952528,0.002051048313582497,0.46986905535151635,0.662154501088382,11.0
"Eaton Square (South), Belgravia",192,184,1.0434782608695652,3,0.497054698457223,0.3387096774193548,1.5076923076923077,0.5384615384615384,3,13.629813194444443,0.6806800010719932,0.590671755824463,0.3726708074534162,0.030605871330418487,0.007976298997265268,0.6605474231889477,0.6568460406336972,12.0
"Southwark Station 2, Southwark",844,870,0.9701149425287356,2,0.4699763593380617,0.3096473719228214,8.153846153846153,8.36923076923077,2,10.174139652448655,0.643598199093524,0.5399903488250082,0.3464696223316913,0.16552154903185506,0.12397447584320875,0.4930736492653291,0.6499359135352968,13.0
"Northumberland Avenue, Strand",289,325,0.8892307692307693,3,0.5248933143669989,0.275516693163752,4.015384615384615,3.4461538461538463,3,13.327036735870818,0.718802946426145,0.4804702663056647,0.3175824175824176,0.08151155527795127,0.05104831358249772,0.6458738391375827,0.6343251262950556,14.0
