Station,Start Count,End Count,Total Trips,Start/End,Community
"Abbey Orchard Street, Westminster",498,575,1073,0.8660869565217392,3
"Abingdon Green, Westminster",418,427,845,0.9789227166276346,3
"Albany Street, The Regent's Park",492,416,908,1.1826923076923077,0
"Albert Embankment, Vauxhall",309,244,553,1.2663934426229508,3
"Albert Gate, Hyde Park",718,585,1303,1.2273504273504274,3
"Aldersgate Street, Barbican",1254,1194,2448,1.050251256281407,1
"Allington Street, Victoria",785,788,1573,0.9961928934010152,3
"Ampton Street , Clerkenwell",486,460,946,1.0565217391304347,0
"Archbishop's Park, Waterloo",220,266,486,0.8270676691729323,2
"Argyle Street, Kings Cross",2454,2427,4881,1.011124845488257,0
"Arundel Street, Temple",396,423,819,0.9361702127659575,2
"Ashley Place, Victoria",524,563,1087,0.9307282415630551,3
"Baker Street, Marylebone",546,435,981,1.2551724137931035,0
"Baldwin Street, St. Luke's",751,676,1427,1.1109467455621302,1
"Bank of England Museum, Bank",798,849,1647,0.9399293286219081,1
"Bankside Mix, Bankside",554,676,1230,0.8195266272189349,2
"Barbican Centre, Barbican",611,596,1207,1.0251677852348993,1
"Bath Street, St. Luke's",1128,1067,2195,1.057169634489222,1
"Bayley Street , Bloomsbury",773,777,1550,0.9948519948519948,0
"Baylis Road, Waterloo",1169,1229,2398,0.951179820992677,2
"Beaumont Street, Marylebone",561,557,1118,1.007181328545781,0
"Bedford Way, Bloomsbury",406,364,770,1.1153846153846154,0
"Belgrave Road, Victoria",350,329,679,1.0638297872340425,3
"Belgrave Square, Belgravia",258,290,548,0.8896551724137931,3
"Bell Lane, Liverpool Street",580,527,1107,1.1005692599620494,1
"Bell Street , Marylebone",509,437,946,1.1647597254004576,0
"Belvedere Road 1, South Bank",473,517,990,0.9148936170212766,1
"Belvedere Road 2, South Bank",350,378,728,0.9259259259259259,2
"Bermondsey Street, Bermondsey",792,776,1568,1.0206185567010309,2
"Berry Street, Clerkenwell",750,743,1493,1.009421265141319,1
"Bethnal Green Road, Shoreditch",957,902,1859,1.0609756097560976,1
"Birkenhead Street, King's Cross",762,735,1497,1.036734693877551,0
"Black Prince Road, Vauxhall",517,529,1046,0.9773156899810964,2
"Blackfriars Road, Southwark",568,573,1141,0.9912739965095986,2
"Blackfriars Station, St. Paul's",1066,1097,2163,0.9717411121239745,1
"Bolsover Street, Fitzrovia",488,472,960,1.0338983050847457,0
"Borough High Street, The Borough",504,495,999,1.018181818181818,2
"Borough Road, Elephant & Castle",442,475,917,0.9305263157894736,2
"Boston Place, Marylebone",1106,740,1846,1.4945945945945946,0
"Bourne Street, Belgravia",236,258,494,0.9147286821705426,3
"Bouverie Street, Temple",576,663,1239,0.8687782805429864,2
"Braham Street, Aldgate",849,735,1584,1.1551020408163266,1
"Brandon Street, Walworth",378,344,722,1.0988372093023255,2
"Breams Buildings, Holborn",579,628,1207,0.9219745222929936,1
"Brick Lane Market, Shoreditch",249,253,502,0.9841897233201581,1
"Bricklayers Arms, Borough",875,768,1643,1.1393229166666667,2
"British Museum, Bloomsbury",649,595,1244,1.0907563025210083,0
"Broadcasting House, Marylebone",570,582,1152,0.979381443298969,0
"Broadley Terrace, Marylebone",235,170,405,1.3823529411764706,0
"Broadwick Street, Soho",665,747,1412,0.8902275769745649,0
"Brunswick Square, Bloomsbury",685,711,1396,0.9634317862165963,0
"Brushfield Street, Liverpool Street",1238,1672,2910,0.7404306220095693,1
"Bruton Street, Mayfair",231,221,452,1.0452488687782806,0
"Buckingham Gate, Westminster",376,407,783,0.9238329238329238,3
"Bunhill Row, Moorgate",1033,1083,2116,0.9538319482917821,1
"Bury Place, Holborn",444,455,899,0.9758241758241758,0
"Butler Place, Westminster",428,436,864,0.981651376146789,3
"Buxton Street 1, Shoreditch",161,146,307,1.1027397260273972,1
"Cadogan Gardens, Chelsea",349,254,603,1.374015748031496,3
